CODIGO;name;COD_P;description
FA10085935;Lidocaína;745;Lidocaína 10 mg/ml Sol inj Fr 20 ml IM SC
FA10085110;Lidocaína + Adrenalina;1569;Lidocaína 10 mg/ml + Adrenalina 0.01 mg/ml Sol inj
FA10031600;Sevoflurano;1014;SEVOflurano Líq inal vapo Fr 250 ml
FA10006247;Ácido acetilsalicílico;117;Ácido acetilsalicílico 100 mg Comp
FA10009414;Dimenidrinato;451;Dimenidrinato 100 mg Comp
FA10014952;Tiaprida;1080;TiaPRIDA 100 mg Comp
FA20000002;0;0;Vaselina  pmd
FA10001887;Losartan + Hidroclorotiazida;1578;Losartan 50 mg + Hidroclorotiazida 12.5 mg Comp
FA10006101;Ranitidina;101;Ranitidina 150 mg Comp
FA10015082;Indometacina;72;Indometacina 100 mg Sup
FA10025280;Doxiciclina;477;Doxiciclina 100 mg Comp disp
FA10025308;Trazodona;1108;Trazodona 100 mg Comp
FA10026560;Espironolactona;53;Espironolactona 100 mg Comp
FA10028222;Tramadol;111;Tramadol 100 mg Comp LP
FA10033170;Nitrofurantoína;859;Nitrofurantoína 100 mg Cáps
FA10045047;Dimenidrinato;451;Dimenidrinato 100 mg Sup
FA10048680;Fenitoína;542;Fenitoína 100 mg Comp
FA10058062;Acarbose;127;Acarbose 100 mg Comp
FA10071160;Levodopa + Carbidopa;1386;Levodopa 100 mg + Carbidopa 25 mg Comp
FA10005825;Hidroxizina;660;Hidroxizina 100 mg/2 ml Sol inj Fr 2 ml IM
FA10012613;Tramadol;111;Tramadol 100 mg/2 ml Sol inj Fr 2 ml IM IV SC
FA10017959;Tobramicina;110;Tobramicina 100 mg/2 ml Sol inj Fr 2 ml IM IV
FA10022778;Tiaprida;1080;TiaPRIDA 100 mg/2 ml Sol inj Fr 2 ml IM IV
FA10035900;Tiamina;107;tiaMINA 100 mg/2 ml Sol inj Fr 2 ml IM
FA10044956;Clonixina;368;Clonixina 100 mg/2 ml Sol inj Fr 2 ml IM IV
FA10054306;Petidina;914;Petidina 100 mg/2 ml Sol inj Fr 2 ml IM IV SC
FA10054516;Hidrocortisona;653;Hidrocortisona 100 mg Pó sol inj Fr IM IV
FA10068747;Cloreto de suxametónio;379;Cloreto de SUXAMETónio 100 mg/2 ml Sol inj Fr 2 ml
FA10005750;Óxido férrico sacarosado;1838;Óxido férrico sacarosado 100 mg/5 ml Sol inj Fr 5
FA10015246;Iodopovidona;699;Iodopovidona 100 mg/g Pom Bisn 100 g
FA10015253;Iodopovidona;699;Iodopovidona 100 mg/g Pom Bisn 30 g
FA10022155;Iodopovidona;699;Iodopovidona 100 mg/ml Sol cut Fr 500 ml
FA10031108;Cloreto de cálcio;374;Cloreto de cálcio 100 mg/ml Sol inj Fr 10 ml IV
FA10048239;Fenilefrina;540;Fenilefrina 100 mg/ml Col, sol Fr 10 ml
FA10059869;Lidocaína;745;Lidocaína 100 mg/ml Sol pulv cut Fr 50 ml
FA10063821;Glucose;630;Glucose 100 mg/ml Sol inj Fr 10 ml IV
FA10001780;Insulina humana;686;Insulina humana 100 U.I./ml rap. Sol inj Fr 5ml
FA10086364;Insulina humana;686;Insulina humana 100 U.I./ml Acção interm Susp inj
FA10002850;Paracetamol;95;Paracetamol 1000 mg Sup
FA10016622;Vancomicina;112;VANCOmicina 1000 mg Pó sol inj Fr IV
FA10028820;Metilprednisolona;795;Metilprednisolona 1000 mg Pó sol inj Fr IM IV
FA10036888;Metformina;78;MetFORMINA 1000 mg Comp
FA10007096;Cefoxitina;28;CefOXITINA 1000 mg Pó sol inj Fr IV
FA10031250;Cefazolina;25;CefAZOLINA 1000 mg Pó sol inj Fr IV
FA10031962;Ceftriaxona;30;CefTRIAXONA 1000 mg Pó sol inj Fr IV
FA10041650;Amoxicilina + Ácido clavulânico;9;Amoxicilina 1000 mg + Ácido clavulânico 200 mg Pó
FA10036660;Ceftazidima;307;CefTAZIDIMA 1000 mg Pó sol inj Fr IM IV
FA10065224;Sucralfato;103;Sucralfato 1000 mg/5 ml Susp oral Saq
FA10045944;Nistatina;856;Nistatina 100000 U.I./ml Susp oral Fr 30 ml xar.
FA10030846;Senosido A + Senosido B;1812;Senosido A + Senosido B 12 mg Comp
FA10002868;Paracetamol;95;Paracetamol 125 mg Sup
FA10004844;Amoxicilina + Ácido clavulânico;9;Amoxicilina 125mg/5ml+Ác. clavul. 31.25 100ml xar.
FA10035633;Bicarbonato de sódio;236;Bicarbonato de sódio 14 mg/ml Sol inj Fr 500 ml IV
FA10014201;Flurazepam;579;FLURazepam 15 mg Cáps
FA10046829;Oxazepam;879;OXazepam 15 mg Comp
FA10097567;Tafluprost;2614;Tafluprost 15 µg/ml Col, sol Recip unid 0.3 ml
FA10016501;Dipiridamol;457;Dipiridamol 150 mg Cáps LP
FA10060210;Ácido acetilsalicílico;117;Ácido acetilsalicílico 150 mg Cáps LM
FA10047906;Ácido acetilsalicílico + Ácido ascórbico;1820;Ácido acetilsalicílico 150 mg + Ácido ascórbico 30
FA10012595;Amiodarona;7;AmiODAROna 150 mg/3 ml Sol inj Fr 3 ml IV
FA10020656;Carbonato de cálcio + Colecalciferol;1389;Carbonato de cálcio 1500 mg + Colecalciferol 400 U
FA10053810;Pidolato de magnésio;917;Pidolato de magnésio 1500 mg/10 ml Sol oral Fr 10
FA10036607;Beta-histina;1747;Beta-histina 16 mg Comp
FA10007242;Pancreatina + Dimeticone;1326;Pancreatina 170 mg + Dimeticone 80 mg Comp
FA10000842;Diltiazem;449;Diltiazem 180 mg Cáps LP
FA10058258;Acetilsalicilato de lisina;1;Acetilsalicilato de lisina 1800 mg Pó sol inj Fr I
FA10011874;Loperamida;75;Loperamida 2 mg Comp
FA10026221;Clonazepam;366;CLONazepam 2 mg Comp
FA10043968;Tri-hexifenidilo;1111;Tri-hexifenidilo 2 mg Comp
FA10035188;Clemastina;352;Clemastina 2 mg/2 ml Sol inj Fr 2 ml IM IV
FA10021690;Fluconazol;564;Fluconazol 2 mg/ml Sol inj Fr 50 ml IV
FA10031058;Ropivacaína;999;ROpivacaína 2 mg/ml Sol inj Fr 20 ml Epidural Peri
FA10050770;Senosido A + Senosido B;1812;Senosido A + Senosido B 2 mg/ml Sol oral Fr 75 ml
FA10076548;Carbómero;284;Carbómero 2 mg/ml Gel oft Bisn
FA10042340;Lorazepam;76;LORazepam 2.5 mg Comp
FA10014411;Fenilefrina;540;Fenilefrina 2.5 mg/ml Sol lav nas Fr 15 ml
FA10003070;Prednisolona;945;Prednisolona 20 mg Comp
FA10005864;Omeprazol;92;Omeprazol 20 mg Cáps GR
FA10006311;Fluoxetina;60;FLUoxetina 20 mg Cáps
FA10006699;Sinvastatina;1019;Sinvastatina 20 mg Comp
FA10007872;Mononitrato de isossorbida;73;Mononitrato de isossorbida 20 mg Comp
FA10012339;Paroxetina;123;PARoxetina 20 mg Comp
FA10021797;Lisinopril;74;Lisinopril 20 mg Comp
FA10036176;Trimetazidina;119;Trimetazidina 20 mg Comp
FA10048560;Dinitrato de isossorbida;454;Dinitrato de isossorbida 20 mg Cáps LP
FA10036258;Lisinopril + Hidroclorotiazida;1575;Lisinopril 20 mg + Hidroclorotiazida 12.5 mg Comp
FA10044269;Butilescopolamina;269;Butilescopolamina 20 mg/1 ml Sol inj Fr 1 ml IM IV
FA10044970;Tenoxicam;1060;Tenoxicam 20 mg Pó sol inj Fr IM IV
FA10058023;Furosemida;65;Furosemida 20 mg/2 ml Sol inj Fr 2 ml IM IV
FA10075097;Bupivacaína;263;BUpivacaína hiperbárica 20 mg/4 ml Sol inj Fr 4 ml
